,entry_id,tester_id,created_at,keystroke_sequence
57,ac4d4090-7972-11ed-a3bb-674c56c9a5f7,14914210-7972-11ed-a3bb-674c56c9a5f7,1670776894233,"{""18"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""won""]}"
59,b35099f0-7972-11ed-a3bb-674c56c9a5f7,14914210-7972-11ed-a3bb-674c56c9a5f7,1670776905999,"{""19"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""up"",""up"",""up"",""up"",""left"",""left"",""left"",""down"",""down"",""left"",""left"",""down"",""down"",""won""]}"
61,bb399860-7972-11ed-a3bb-674c56c9a5f7,14914210-7972-11ed-a3bb-674c56c9a5f7,1670776919270,"{""20"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""right"",""left"",""left"",""left"",""left"",""down"",""down"",""down"",""down"",""down"",""down"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""won""]}"
65,c022eb60-7972-11ed-a3bb-674c56c9a5f7,14914210-7972-11ed-a3bb-674c56c9a5f7,1670776927510,"{""21"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""right"",""left"",""left"",""up"",""won""]}"
67,c35629f0-7972-11ed-a3bb-674c56c9a5f7,14914210-7972-11ed-a3bb-674c56c9a5f7,1670776932879,"{""22"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""right"",""down"",""down"",""down"",""left"",""won""]}"
69,c6159810-7972-11ed-a3bb-674c56c9a5f7,14914210-7972-11ed-a3bb-674c56c9a5f7,1670776937489,"{""23"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""left"",""down"",""down"",""right"",""left"",""left"",""left"",""left"",""left"",""left"",""won""]}"
72,cb6b8f90-7972-11ed-a3bb-674c56c9a5f7,14914210-7972-11ed-a3bb-674c56c9a5f7,1670776946441,"{""24"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""up"",""up"",""up"",""left"",""left"",""left"",""up"",""won""]}"
74,d3da38c0-7972-11ed-a3bb-674c56c9a5f7,14914210-7972-11ed-a3bb-674c56c9a5f7,1670776960588,"{""25"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""right"",""up"",""up"",""up"",""right"",""right"",""up"",""up"",""down"",""down"",""down"",""down"",""down"",""right"",""right"",""right"",""right"",""up"",""down"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""left"",""left"",""down"",""down"",""left"",""won""]}"
76,da6ea3b0-7972-11ed-a3bb-674c56c9a5f7,14914210-7972-11ed-a3bb-674c56c9a5f7,1670776971627,"{""26"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""right"",""right"",""down"",""down"",""right"",""up"",""left"",""up"",""left"",""left"",""up"",""up"",""up"",""left"",""left"",""up"",""up"",""up"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""down"",""down"",""down"",""won""]}"
78,e4e551e0-7972-11ed-a3bb-674c56c9a5f7,14914210-7972-11ed-a3bb-674c56c9a5f7,1670776989183,"{""27"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""right"",""down"",""left"",""up"",""left"",""left"",""left"",""down"",""down"",""left"",""left"",""up"",""up"",""up"",""up"",""down"",""down"",""down"",""down"",""right"",""right"",""down"",""down"",""down"",""down"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""left"",""left"",""down"",""down"",""left"",""left"",""won""]}"
80,ef576c30-7972-11ed-a3bb-674c56c9a5f7,14914210-7972-11ed-a3bb-674c56c9a5f7,1670777006707,"{""28"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""left"",""down"",""down"",""right"",""down"",""down"",""left"",""left"",""down"",""down"",""down"",""right"",""right"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""right"",""right"",""down"",""down"",""left"",""left"",""right"",""right"",""up"",""up"",""left"",""left"",""up"",""up"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""left"",""won""]}"
82,f1c62240-7972-11ed-a3bb-674c56c9a5f7,14914210-7972-11ed-a3bb-674c56c9a5f7,1670777010788,"{""29"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""left"",""won""]}"
84,f7993900-7972-11ed-a3bb-674c56c9a5f7,14914210-7972-11ed-a3bb-674c56c9a5f7,1670777020560,"{""30"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""left"",""left"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""down"",""left"",""left"",""up"",""up"",""up"",""right"",""down"",""won""]}"
